,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,street,city,district,postcode,latGold,lonGold
2882,7480,7480,7480,80,RUA DOS LIRIOS,SAO PAULO,IGUATEMI,,-23.62333,-46.41622
2883,8951,8951,8951,72,RUA ARNALDO CINTRA,SAO PAULO,TATUAPE,,-23.525894,-46.562291
2884,3547,3547,3547,S/N,AVENIDA DAS NACOES UNIDAS,SAO PAULO,VILA LEOPOLDINA,,-23.532532,-46.746892
2885,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2886,3228,3228,3228,101,PIRAPORA,SAO PAULO,ANHANGUERA,,-23.427349,-46.798978
2887,7496,7496,7496,13,GOLFO DONA CALIFORNIA,SAO PAULO,IGUATEMI,,-23.622337,-46.413424
2888,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2889,9237,9237,9237,100,CRISANTEMO,SAO PAULO,TREMEMBE,,-23.431378,-46.573848
2890,8827,8827,8827,262,AVENIDA MAL ARGOLO FERRAO,SAO PAULO,VILA MEDEIROS,,-23.497062,-46.571544
2891,5373,5373,5373,      2200,ALDA,SAO PAULO,PEDREIRA,,-23.702508,-46.624694
2892,7375,7375,7375,       192,AFONSO FURTADO DE CASTRO,SAO PAULO,SAO RAFAEL,,-23.626017,-46.444807
2893,967,967,967,S/N,RUA GAIVOTAS DO CEU,SAO PAULO,GRAJAU,,-23.780489,-46.675104
2894,9962,9962,9962,49,BATUIRA DO CAMPO,SAO PAULO,ERMELINO MATARAZZO,,-23.478662,-46.494123
2895,9997,9997,9997,313,JAPICHAUA,SAO PAULO,VILA JACUI,,-23.481621,-46.470061
2896,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2897,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2898,10260,10260,10260,250,RUA IRMAO DEODORO,SAO PAULO,GUAIANASES,,-23.550006,-46.419489
2899,9018,9018,9018,2274,CANGAIBA,SAO PAULO,CANGAIBA,,-23.507604,-46.53344
2900,7078,7078,7078,       153,ARCHANGELO ARCHINA,SAO PAULO,SAO MATEUS,,-23.595189,-46.483531
2901,205,205,205,S/N,EST ENGENHEIRO MARCILAC,SAO PAULO,MARSILAC,,-23.875968,-46.738807
2902,10753,10753,10753,797,CORDAO DE SAO FRANCISCO,SAO PAULO,JARDIM HELENA,,-23.49355,-46.40132
2903,1645,1645,1645,452,AVENIDA FRANCISCO MONT ALVERNE,SAO PAULO,RAPOSO TAVARES,,-23.598686,-46.765599
2904,1445,1445,1445,10,14 DE OUTUBRO,SAO PAULO,CAPAO REDONDO,,-23.648191,-46.790527
2905,1065,1065,1065,5000,CANAL DE COCAIA,SAO PAULO,GRAJAU,,-23.741031,-46.668485
2906,5333,5333,5333,271,RUA SEBASTIAO AFONSO,SAO PAULO,CIDADE ADEMAR,,-23.677366,-46.633336
2907,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2908,1323,1323,1323,304,BACABINHA,SAO PAULO,JARDIM SAO LUIS,,-23.68765,-46.749981
2909,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2910,10721,10721,10721,2737,AVENIDA DOUTOR JOSE ARTHUR DONA NOVA,SAO PAULO,JARDIM HELENA,,-23.474758,-46.424325
2911,749,749,749,601,RUA RENE CASTERA,SAO PAULO,JARDIM ANGELA,,-23.750653,-46.776956
2912,4052,4052,4052,54,RUA CONSELHEIRRO OLEGARIO,SAO PAULO,LAPA,,-23.514524,-46.721935
2913,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2914,11478,11478,11478,160,RUA NOVA BELEM,SAO PAULO,ITAIM PAULISTA,,-23.51482,-46.375787
2915,9199,9199,9199,5550,AVENIDA CORONEL SEZEFREDO FAGUNDES,SAO PAULO,TREMEMBE,,-23.435937,-46.59476
2916,720,720,720,S/N,SINFONIA MILITAR TRAV H,SAO PAULO,PARELHEIROS,,-23.803575,-46.764608
2917,8303,8303,8303,      3207,NOVA CANTAREIRA,SAO PAULO,TUCURUVI,,-23.469949,-46.617073
2918,10721,10721,10721,2737,AVENIDA DOUTOR JOSE ARTHUR DONA NOVA,SAO PAULO,JARDIM HELENA,,-23.474758,-46.424325
